EmployeeNumber,Age,Gender,MaritalStatus,Attrition,Department,EducationField,Education,DistanceFromHome,BusinessTravel,Over18,EmployeeCount,TotalWorkingYears,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Tenure_Band,NumCompaniesWorked
575,46,Male,Married,No,Product & Engineering,Biological Sciences,3,2,Occasional Travel,Y,1,26,3,2,0,1,3-5 yrs,6
423,31,Male,Married,No,Product & Engineering,Applied Technology,4,5,Occasional Travel,Y,1,6,5,2,0,3,3-5 yrs,0
162,51,Male,Single,No,Product & Engineering,Biological Sciences,3,6,Occasional Travel,Y,1,23,20,18,15,15,10+ yrs,7
1356,34,Female,Single,No,Business Development,Medical Sciences,2,15,Occasional Travel,Y,1,10,10,8,9,6,6-10 yrs,1
1709,29,Female,Married,No,Product & Engineering,Medical Sciences,4,9,Occasional Travel,Y,1,9,5,3,1,2,3-5 yrs,9
1235,32,Female,Single,No,Product & Engineering,Biological Sciences,2,2,Frequent Travel,Y,1,10,8,7,0,7,6-10 yrs,4
281,40,Male,Married,No,Product & Engineering,Medical Sciences,2,19,Occasional Travel,Y,1,15,7,2,3,7,6-10 yrs,8
1970,33,Male,Divorced,No,Product & Engineering,Biological Sciences,2,7,Frequent Travel,Y,1,9,9,7,2,8,6-10 yrs,1
757,34,Female,Single,No,Product & Engineering,Medical Sciences,2,8,Occasional Travel,Y,1,10,5,1,4,3,3-5 yrs,3
1633,39,Female,Single,No,Product & Engineering,Medical Sciences,3,4,Frequent Travel,Y,1,10,9,2,3,8,6-10 yrs,0
1744,45,Female,Married,No,People Operations,Biological Sciences,3,4,Occasional Travel,Y,1,9,5,0,0,3,3-5 yrs,4
1079,21,Female,Single,Yes,Product & Engineering,Biological Sciences,3,10,Occasional Travel,Y,1,1,1,0,1,0,0-2 yrs,1
1459,31,Female,Single,Yes,Product & Engineering,Biological Sciences,5,1,Frequent Travel,Y,1,10,10,8,4,7,6-10 yrs,1
815,50,Male,Married,No,Product & Engineering,Medical Sciences,3,2,Occasional Travel,Y,1,30,4,3,0,3,3-5 yrs,5
1033,37,Female,Married,Yes,Product & Engineering,Medical Sciences,2,11,Occasional Travel,Y,1,15,1,0,0,0,0-2 yrs,5
261,35,Male,Married,Yes,Product & Engineering,Biological Sciences,2,23,Occasional Travel,Y,1,8,1,0,0,1,0-2 yrs,3
458,27,Female,Married,No,Business Development,Marketing & Communications,4,8,Occasional Travel,Y,1,8,8,7,0,7,6-10 yrs,1
1885,37,Male,Married,No,Product & Engineering,Medical Sciences,4,7,Occasional Travel,Y,1,16,5,3,0,4,3-5 yrs,5
395,28,Female,Single,No,Product & Engineering,Biological Sciences,2,8,Occasional Travel,Y,1,5,5,3,0,2,3-5 yrs,1
1550,40,Male,Single,No,People Operations,Medical Sciences,2,6,Occasional Travel,Y,1,21,21,7,7,7,10+ yrs,1
1908,36,Male,Married,No,Business Development,Marketing & Communications,2,17,Occasional Travel,Y,1,12,4,2,1,3,3-5 yrs,2
38,46,Female,Single,No,Business Development,Marketing & Communications,4,2,Occasional Travel,Y,1,22,2,2,2,1,0-2 yrs,3
656,37,Male,Married,No,Business Development,Marketing & Communications,3,2,Occasional Travel,Y,1,17,3,0,1,0,3-5 yrs,4
100,35,Male,Single,No,Business Development,Marketing & Communications,4,1,Occasional Travel,Y,1,16,15,13,2,8,10+ yrs,0
1260,29,Male,Divorced,No,Product & Engineering,Biological Sciences,3,7,Occasional Travel,Y,1,6,6,0,1,0,6-10 yrs,1
84,55,Female,Divorced,No,Product & Engineering,Medical Sciences,3,8,Occasional Travel,Y,1,21,5,0,0,2,3-5 yrs,2
1615,34,Male,Divorced,No,Product & Engineering,Biological Sciences,4,10,Frequent Travel,Y,1,9,9,7,7,2,6-10 yrs,1
808,34,Female,Married,No,Business Development,Biological Sciences,2,8,Occasional Travel,Y,1,6,3,2,1,2,3-5 yrs,5
1237,36,Female,Divorced,No,Product & Engineering,Applied Technology,3,1,Occasional Travel,Y,1,17,7,7,7,7,6-10 yrs,2
1321,30,Female,Married,No,Product & Engineering,Medical Sciences,4,17,Occasional Travel,Y,1,9,9,1,0,8,6-10 yrs,1
1201,53,Female,Divorced,No,Product & Engineering,Medical Sciences,2,7,Occasional Travel,Y,1,26,7,7,4,7,6-10 yrs,3
760,39,Female,Married,No,People Operations,HR Studies,3,3,Occasional Travel,Y,1,12,8,3,3,6,6-10 yrs,9
1938,58,Female,Married,No,Business Development,Biological Sciences,3,21,Occasional Travel,Y,1,29,1,0,0,0,0-2 yrs,4
645,25,Male,Married,No,Business Development,Medical Sciences,1,13,Occasional Travel,Y,1,7,7,4,0,6,6-10 yrs,1
1165,29,Female,Married,Yes,Business Development,Biological Sciences,1,23,Occasional Travel,Y,1,11,11,8,3,10,10+ yrs,1
1471,44,Male,Single,No,Product & Engineering,Biological Sciences,3,5,No Travel,Y,1,7,5,2,0,3,3-5 yrs,3
1678,41,Male,Single,No,Business Development,Biological Sciences,2,23,Occasional Travel,Y,1,21,2,0,0,2,0-2 yrs,3
665,44,Female,Single,No,People Operations,Biological Sciences,4,1,Occasional Travel,Y,1,10,2,2,0,2,0-2 yrs,4
865,32,Female,Married,No,Product & Engineering,Medical Sciences,2,8,Occasional Travel,Y,1,9,5,3,1,3,3-5 yrs,5
57,30,Female,Single,No,Product & Engineering,Medical Sciences,2,1,Frequent Travel,Y,1,12,12,8,3,7,10+ yrs,1
77,37,Male,Divorced,No,Product & Engineering,Biological Sciences,4,1,Occasional Travel,Y,1,7,7,5,0,7,6-10 yrs,1
30,21,Male,Single,No,Product & Engineering,Biological Sciences,2,15,Occasional Travel,Y,1,0,0,0,0,0,0-2 yrs,1
1975,39,Male,Single,No,Business Development,Marketing & Communications,4,15,Occasional Travel,Y,1,21,20,8,11,10,10+ yrs,0
508,30,Male,Married,No,Business Development,Applied Technology,1,2,Occasional Travel,Y,1,1,1,0,0,0,0-2 yrs,1
152,37,Male,Single,No,Business Development,Biological Sciences,3,3,Occasional Travel,Y,1,12,5,3,1,3,3-5 yrs,2
462,31,Female,Single,No,Product & Engineering,Medical Sciences,4,7,Occasional Travel,Y,1,11,11,9,4,10,10+ yrs,1
1497,29,Male,Divorced,No,Business Development,Biological Sciences,3,19,Occasional Travel,Y,1,10,10,7,0,4,6-10 yrs,1
529,37,Female,Married,No,Product & Engineering,Medical Sciences,5,25,No Travel,Y,1,15,13,11,10,7,10+ yrs,3
1503,47,Female,Married,No,Business Development,Medical Sciences,3,14,Occasional Travel,Y,1,11,5,4,1,2,3-5 yrs,3
580,46,Female,Married,No,Business Development,Marketing & Communications,3,10,Occasional Travel,Y,1,15,3,2,1,2,3-5 yrs,2
374,55,Male,Single,No,Product & Engineering,Medical Sciences,3,1,Occasional Travel,Y,1,37,36,10,4,13,10+ yrs,0
1121,28,Female,Divorced,No,Product & Engineering,Medical Sciences,3,3,Occasional Travel,Y,1,10,9,7,1,7,6-10 yrs,0
840,49,Female,Married,Yes,Business Development,Marketing & Communications,3,11,Occasional Travel,Y,1,9,9,8,7,7,6-10 yrs,1
1364,27,Female,Married,No,Business Development,Medical Sciences,3,11,Occasional Travel,Y,1,5,1,0,0,0,0-2 yrs,8
1024,48,Male,Single,No,Product & Engineering,Biological Sciences,4,4,Occasional Travel,Y,1,27,15,11,4,8,10+ yrs,7
1119,38,Male,Divorced,No,Business Development,Marketing & Communications,4,10,Occasional Travel,Y,1,9,8,7,2,7,6-10 yrs,0
487,46,Female,Married,No,Product & Engineering,Medical Sciences,4,7,No Travel,Y,1,7,1,0,0,0,0-2 yrs,2
1853,32,Male,Single,No,Business Development,Marketing & Communications,4,10,Frequent Travel,Y,1,4,0,0,0,0,0-2 yrs,8
102,37,Male,Single,No,Product & Engineering,Medical Sciences,4,7,Occasional Travel,Y,1,16,5,2,0,2,3-5 yrs,4
336,45,Male,Married,No,Product & Engineering,General Studies,3,1,Occasional Travel,Y,1,25,24,0,1,7,10+ yrs,0
1645,35,Male,Divorced,Yes,Business Development,Medical Sciences,2,15,Occasional Travel,Y,1,7,2,2,2,2,0-2 yrs,6
1611,45,Female,Single,No,Product & Engineering,Medical Sciences,5,5,Occasional Travel,Y,1,10,10,7,1,4,6-10 yrs,1
947,31,Female,Married,No,Business Development,Marketing & Communications,2,20,No Travel,Y,1,9,9,8,0,0,6-10 yrs,1
1084,30,Male,Married,No,Product & Engineering,General Studies,3,20,Occasional Travel,Y,1,7,6,2,0,2,6-10 yrs,0
556,38,Male,Married,No,Product & Engineering,Biological Sciences,2,2,Frequent Travel,Y,1,1,1,0,0,0,0-2 yrs,1
192,45,Male,Single,No,Product & Engineering,Medical Sciences,3,29,Occasional Travel,Y,1,9,6,5,0,3,6-10 yrs,5
91,59,Female,Single,No,Business Development,Biological Sciences,1,1,Frequent Travel,Y,1,20,4,3,1,3,3-5 yrs,7
20,29,Female,Divorced,No,Product & Engineering,Biological Sciences,4,21,Occasional Travel,Y,1,10,10,9,8,8,6-10 yrs,1
1677,49,Male,Single,No,Product & Engineering,Biological Sciences,3,1,Occasional Travel,Y,1,23,8,7,0,0,6-10 yrs,4
1502,33,Female,Married,No,Product & Engineering,Medical Sciences,4,4,Occasional Travel,Y,1,8,5,4,0,2,3-5 yrs,8
1441,56,Female,Married,No,Product & Engineering,Biological Sciences,2,1,Occasional Travel,Y,1,5,3,2,1,0,3-5 yrs,2
1344,34,Male,Divorced,No,Product & Engineering,Biological Sciences,3,9,Occasional Travel,Y,1,10,9,7,1,6,6-10 yrs,0
1297,51,Female,Single,No,Product & Engineering,Medical Sciences,2,6,Frequent Travel,Y,1,8,7,0,7,7,6-10 yrs,0
1775,53,Female,Married,No,Product & Engineering,Medical Sciences,4,1,No Travel,Y,1,27,3,2,0,2,3-5 yrs,4
803,38,Female,Single,No,Product & Engineering,Biological Sciences,4,2,Frequent Travel,Y,1,17,15,7,4,12,10+ yrs,6
566,19,Male,Single,Yes,People Operations,Applied Technology,2,2,Occasional Travel,Y,1,1,1,0,0,0,0-2 yrs,1
1240,25,Male,Single,No,Business Development,Biological Sciences,4,10,Occasional Travel,Y,1,5,4,3,1,1,3-5 yrs,0
1127,39,Male,Divorced,Yes,Product & Engineering,Biological Sciences,3,2,Frequent Travel,Y,1,21,18,7,11,5,10+ yrs,7
721,39,Female,Single,No,Product & Engineering,Applied Technology,4,2,Occasional Travel,Y,1,20,20,7,11,10,10+ yrs,1
416,31,Male,Married,No,Business Development,Applied Technology,3,7,Occasional Travel,Y,1,10,8,7,7,7,6-10 yrs,4
1852,29,Male,Married,No,Product & Engineering,Medical Sciences,1,20,Frequent Travel,Y,1,11,11,8,3,10,10+ yrs,1
1839,18,Female,Single,No,Product & Engineering,Medical Sciences,3,14,No Travel,Y,1,0,0,0,0,0,0-2 yrs,1
573,60,Female,Married,No,Business Development,Marketing & Communications,3,28,Frequent Travel,Y,1,22,18,13,13,11,10+ yrs,4
1101,33,Female,Single,Yes,Product & Engineering,Medical Sciences,4,29,Frequent Travel,Y,1,14,13,7,3,8,10+ yrs,1
1177,26,Male,Married,No,Product & Engineering,Medical Sciences,4,3,Occasional Travel,Y,1,8,8,7,0,7,6-10 yrs,1
1377,34,Male,Married,No,Product & Engineering,Medical Sciences,3,29,Occasional Travel,Y,1,10,8,7,7,7,6-10 yrs,4
379,21,Male,Single,No,Product & Engineering,Medical Sciences,2,3,Occasional Travel,Y,1,3,3,2,1,0,3-5 yrs,1
587,31,Male,Married,Yes,Product & Engineering,Biological Sciences,3,20,Frequent Travel,Y,1,12,1,0,0,0,0-2 yrs,3
470,42,Male,Divorced,No,People Operations,Applied Technology,1,2,Occasional Travel,Y,1,4,3,2,1,0,3-5 yrs,0
1005,50,Male,Married,No,Product & Engineering,Biological Sciences,3,24,Occasional Travel,Y,1,22,12,11,1,5,10+ yrs,3
1286,28,Male,Single,No,Product & Engineering,Medical Sciences,4,1,Frequent Travel,Y,1,5,4,2,0,2,3-5 yrs,0
605,42,Male,Married,No,Product & Engineering,Medical Sciences,3,24,Occasional Travel,Y,1,10,10,9,5,8,6-10 yrs,1
1662,36,Female,Married,No,Product & Engineering,Medical Sciences,4,1,No Travel,Y,1,4,3,2,1,2,3-5 yrs,0
56,27,Male,Single,No,Business Development,Biological Sciences,3,8,Frequent Travel,Y,1,9,9,8,1,7,6-10 yrs,1
1661,49,Female,Married,No,Product & Engineering,Biological Sciences,1,6,Occasional Travel,Y,1,30,15,11,2,12,10+ yrs,2
1764,32,Male,Single,No,Product & Engineering,Applied Technology,4,5,No Travel,Y,1,12,7,7,0,7,6-10 yrs,2
450,54,Female,Single,No,Product & Engineering,Biological Sciences,4,20,Frequent Travel,Y,1,20,4,3,0,3,3-5 yrs,3
1279,21,Female,Single,Yes,Product & Engineering,Biological Sciences,2,10,Frequent Travel,Y,1,2,2,2,2,2,0-2 yrs,1
134,32,Male,Single,No,Product & Engineering,Biological Sciences,1,1,Occasional Travel,Y,1,1,1,0,0,0,0-2 yrs,1
142,25,Male,Single,Yes,Business Development,Marketing & Communications,3,5,Occasional Travel,Y,1,6,6,4,0,3,6-10 yrs,1
420,32,Male,Married,No,Business Development,Biological Sciences,3,7,Occasional Travel,Y,1,13,13,8,4,8,10+ yrs,1
1457,46,Male,Divorced,Yes,Business Development,Marketing & Communications,3,9,Occasional Travel,Y,1,28,7,7,4,3,6-10 yrs,4
241,56,Female,Divorced,No,Product & Engineering,Biological Sciences,3,8,Occasional Travel,Y,1,19,2,2,2,2,0-2 yrs,4
331,32,Male,Single,Yes,Product & Engineering,Biological Sciences,3,1,Occasional Travel,Y,1,4,3,2,1,2,3-5 yrs,0
1390,39,Male,Married,No,Business Development,Biological Sciences,4,21,Occasional Travel,Y,1,8,5,4,1,4,3-5 yrs,3
538,25,Male,Married,Yes,Product & Engineering,Medical Sciences,3,3,Occasional Travel,Y,1,6,2,2,0,2,0-2 yrs,5
1749,31,Male,Married,No,Business Development,Applied Technology,3,5,Occasional Travel,Y,1,6,5,2,0,2,3-5 yrs,1
169,22,Male,Married,No,Product & Engineering,Applied Technology,1,2,Occasional Travel,Y,1,3,2,1,2,1,0-2 yrs,0
1069,46,Male,Divorced,No,Product & Engineering,Medical Sciences,4,1,Occasional Travel,Y,1,23,2,2,2,2,0-2 yrs,9
471,32,Female,Married,No,Product & Engineering,Medical Sciences,3,2,Occasional Travel,Y,1,8,8,0,0,7,6-10 yrs,1
1573,38,Male,Married,Yes,Product & Engineering,Medical Sciences,3,2,Occasional Travel,Y,1,7,5,2,1,4,3-5 yrs,4
621,34,Male,Single,No,Business Development,Biological Sciences,4,21,Occasional Travel,Y,1,10,10,7,5,7,6-10 yrs,1
1845,45,Female,Married,No,Business Development,Biological Sciences,4,2,No Travel,Y,1,10,8,7,5,7,6-10 yrs,4
1674,49,Female,Divorced,No,Product & Engineering,Medical Sciences,3,16,Occasional Travel,Y,1,17,2,2,2,2,0-2 yrs,4
1696,34,Male,Married,No,Product & Engineering,Medical Sciences,2,5,Occasional Travel,Y,1,15,15,10,4,13,10+ yrs,1
833,30,Female,Single,No,Product & Engineering,Medical Sciences,3,2,Occasional Travel,Y,1,12,0,0,0,0,0-2 yrs,5
41,30,Male,Single,No,Product & Engineering,Medical Sciences,2,9,Occasional Travel,Y,1,10,10,0,1,8,6-10 yrs,1
1871,39,Male,Divorced,No,Product & Engineering,General Studies,4,19,Occasional Travel,Y,1,7,2,2,2,2,0-2 yrs,8
569,50,Male,Married,No,Product & Engineering,Biological Sciences,4,29,Occasional Travel,Y,1,28,27,10,15,7,10+ yrs,0
464,35,Male,Single,No,Product & Engineering,Applied Technology,4,5,Occasional Travel,Y,1,17,16,6,0,13,10+ yrs,0
474,37,Male,Divorced,No,Product & Engineering,Medical Sciences,3,6,Occasional Travel,Y,1,13,7,7,6,7,6-10 yrs,4
1892,40,Male,Divorced,No,Product & Engineering,Biological Sciences,4,1,Occasional Travel,Y,1,22,19,7,11,16,10+ yrs,2
2003,35,Male,Married,No,Product & Engineering,Medical Sciences,4,11,Occasional Travel,Y,1,5,2,2,2,2,0-2 yrs,7
1173,24,Male,Single,No,Product & Engineering,Medical Sciences,3,24,Occasional Travel,Y,1,6,4,3,1,2,3-5 yrs,8
439,32,Female,Single,No,Product & Engineering,Medical Sciences,4,2,Occasional Travel,Y,1,10,7,7,0,7,6-10 yrs,7
1541,34,Male,Married,No,Business Development,Applied Technology,2,7,Occasional Travel,Y,1,12,11,10,5,7,10+ yrs,0
1580,34,Male,Married,No,Product & Engineering,Biological Sciences,4,1,Occasional Travel,Y,1,9,2,2,2,1,0-2 yrs,9
223,57,Male,Divorced,No,Product & Engineering,Biological Sciences,2,24,Occasional Travel,Y,1,12,5,3,1,4,3-5 yrs,3
1815,41,Female,Divorced,No,Business Development,Marketing & Communications,1,4,Occasional Travel,Y,1,23,22,14,13,5,10+ yrs,0
1646,24,Female,Single,No,Product & Engineering,Applied Technology,1,2,Frequent Travel,Y,1,6,6,3,1,3,6-10 yrs,1
1373,56,Male,Married,No,Product & Engineering,Biological Sciences,3,23,Occasional Travel,Y,1,33,19,16,15,9,10+ yrs,4
498,28,Male,Single,No,Business Development,Biological Sciences,4,9,Occasional Travel,Y,1,7,7,5,0,7,6-10 yrs,1
319,42,Male,Married,No,Product & Engineering,Applied Technology,2,4,Occasional Travel,Y,1,22,22,17,11,15,10+ yrs,1
1525,39,Female,Single,No,Product & Engineering,Biological Sciences,3,6,Occasional Travel,Y,1,9,2,0,2,2,0-2 yrs,4
406,35,Male,Married,No,Business Development,Marketing & Communications,3,16,Occasional Travel,Y,1,12,11,9,6,9,10+ yrs,0
850,27,Male,Married,No,Product & Engineering,Medical Sciences,3,3,No Travel,Y,1,0,0,0,0,0,0-2 yrs,1
1641,40,Female,Single,No,Product & Engineering,Biological Sciences,3,16,Occasional Travel,Y,1,18,4,2,3,3,3-5 yrs,6
491,50,Male,Single,No,Product & Engineering,Applied Technology,3,10,Occasional Travel,Y,1,20,4,3,1,3,3-5 yrs,6
1821,46,Female,Married,Yes,Product & Engineering,Medical Sciences,2,21,Occasional Travel,Y,1,13,9,7,3,7,6-10 yrs,4
1097,28,Female,Single,No,Product & Engineering,General Studies,3,10,Occasional Travel,Y,1,10,8,7,1,7,6-10 yrs,3
1822,40,Female,Divorced,No,Product & Engineering,Biological Sciences,3,1,Occasional Travel,Y,1,12,5,3,0,3,3-5 yrs,4
81,59,Female,Single,No,Business Development,Biological Sciences,3,25,Occasional Travel,Y,1,28,21,16,7,9,10+ yrs,7
1419,29,Male,Single,No,People Operations,General Studies,3,17,Occasional Travel,Y,1,10,10,9,0,9,6-10 yrs,1
1998,42,Male,Divorced,No,Product & Engineering,Biological Sciences,4,18,Occasional Travel,Y,1,9,4,3,1,2,3-5 yrs,6
1514,28,Male,Married,No,Product & Engineering,Biological Sciences,1,29,Occasional Travel,Y,1,8,8,6,1,7,6-10 yrs,1
1206,44,Male,Single,No,Product & Engineering,Biological Sciences,3,17,No Travel,Y,1,6,0,0,0,0,0-2 yrs,2
1258,48,Male,Single,No,Product & Engineering,Applied Technology,2,2,Occasional Travel,Y,1,7,1,0,0,0,0-2 yrs,5
809,42,Male,Divorced,No,Product & Engineering,Biological Sciences,3,8,Frequent Travel,Y,1,24,24,7,14,9,10+ yrs,1
1369,35,Female,Married,No,Product & Engineering,Medical Sciences,3,1,Occasional Travel,Y,1,10,9,7,0,0,6-10 yrs,0
271,38,Male,Married,No,Product & Engineering,Biological Sciences,4,2,Occasional Travel,Y,1,14,1,0,0,0,0-2 yrs,9
744,44,Male,Single,No,Product & Engineering,Medical Sciences,3,24,No Travel,Y,1,9,5,2,1,4,3-5 yrs,2
1137,35,Male,Divorced,No,Business Development,Marketing & Communications,2,11,Frequent Travel,Y,1,5,5,2,0,2,3-5 yrs,1
1281,34,Female,Single,No,Business Development,Marketing & Communications,3,2,Occasional Travel,Y,1,4,3,2,0,2,3-5 yrs,0
734,41,Male,Married,No,People Operations,HR Studies,3,1,Occasional Travel,Y,1,22,22,7,2,10,10+ yrs,1
730,53,Male,Married,No,Product & Engineering,Biological Sciences,3,7,Occasional Travel,Y,1,32,5,1,1,3,3-5 yrs,3
39,33,Male,Single,No,Product & Engineering,Medical Sciences,3,2,Occasional Travel,Y,1,7,1,1,0,0,0-2 yrs,4
74,35,Male,Married,No,Business Development,Biological Sciences,5,18,Frequent Travel,Y,1,9,9,8,1,8,6-10 yrs,1
1693,26,Male,Single,No,Product & Engineering,Medical Sciences,3,7,No Travel,Y,1,7,7,7,5,7,6-10 yrs,1
1480,42,Female,Single,No,Product & Engineering,Medical Sciences,2,9,Frequent Travel,Y,1,12,12,9,5,8,10+ yrs,1
549,60,Female,Married,No,Product & Engineering,Biological Sciences,3,7,Occasional Travel,Y,1,33,29,8,11,10,10+ yrs,5
1547,42,Male,Married,No,Product & Engineering,Biological Sciences,3,2,Frequent Travel,Y,1,24,20,8,13,9,10+ yrs,2
555,34,Female,Divorced,Yes,Business Development,Marketing & Communications,2,6,Frequent Travel,Y,1,3,2,2,1,0,0-2 yrs,0
