EmployeeNumber,JobRole,JobLevel,OverTime,DailyRate,HourlyRate,MonthlyRate,MonthlyIncome,PercentSalaryHike,StandardHours,StockOptionLevel,TrainingTimesLastYear
1763,Client Relations Executive,2,No,305,58,9128,5294,16,80,1,3
1018,Operations Director,2,No,1066,32,3334,5472,12,80,0,2
807,Client Relations Executive,2,No,791,38,9931,4244,24,80,1,2
623,Operations Director,3,No,799,59,23848,7491,17,80,0,3
1733,Business Development Associate,2,Yes,1456,96,8658,6134,13,80,3,3
984,Business Development Associate,3,No,882,92,6812,7823,13,80,1,2
1468,Product Research Lead,3,No,218,55,25178,13757,11,80,1,5
1210,Product Research Analyst,1,No,906,95,20293,2107,17,80,1,2
65,Lab Analyst,1,Yes,1434,50,11179,3441,13,80,0,3
1834,Product Research Analyst,1,No,1217,67,12719,3591,25,80,1,3
230,Business Development Associate,2,No,702,59,12930,8686,22,80,0,2
1548,Business Development Associate,2,No,1342,47,19345,5473,12,80,0,5
1574,Product Research Analyst,2,No,1200,62,25174,4087,14,80,1,3
1060,Product Research Analyst,1,No,1186,44,2997,2821,16,80,1,2
485,Business Development Executive,1,Yes,350,34,9150,2851,13,80,0,2
361,Business Development Associate,2,No,1327,39,19682,5249,18,80,1,0
1318,Business Development Associate,3,Yes,299,57,17235,9094,12,80,0,2
819,Business Development Associate,2,No,118,69,26507,5324,15,80,0,3
723,Business Development Associate,2,Yes,562,50,23452,6796,14,80,1,4
1248,Product Research Analyst,1,Yes,504,96,6148,1859,25,80,0,2
575,Product Research Lead,4,No,1009,51,2288,17861,13,80,0,2
423,Product Research Analyst,1,Yes,691,86,10077,4821,12,80,1,4
162,Product Research Lead,5,No,684,51,6462,19537,13,80,0,5
1356,Business Development Associate,2,No,507,66,23553,6125,12,80,0,6
1709,Lab Analyst,1,No,1082,43,25412,2974,17,80,1,2
1235,Product Research Analyst,2,Yes,1316,38,2338,4998,14,80,0,2
281,Lab Analyst,2,Yes,905,99,16523,2741,15,80,1,2
1970,Client Relations Executive,2,No,1303,36,18079,5968,20,80,3,2
757,Client Relations Executive,2,No,970,96,7360,6142,11,80,0,2
1633,Operations Director,2,No,711,81,3140,5042,13,80,0,2
1744,HR Specialist,3,No,176,56,6595,9756,21,80,2,2
1079,Lab Analyst,1,No,1334,36,17258,1416,13,80,0,6
1459,Operations Director,3,No,1445,100,8931,7446,11,80,0,2
815,Product Research Lead,4,No,691,64,6881,17639,16,80,0,3
1033,Client Relations Executive,2,No,1141,61,14382,4777,15,80,0,2
261,Operations Director,2,Yes,556,50,15497,5916,13,80,0,1
458,Business Development Associate,2,No,1130,56,3415,6214,18,80,1,3
1885,Product Research Analyst,2,Yes,783,78,13588,4284,22,80,1,2
395,Product Research Analyst,1,No,1117,66,4488,3310,21,80,0,3
1550,Department Manager,4,Yes,898,38,17381,16437,21,80,0,2
1908,Business Development Associate,2,No,335,33,16822,5507,16,80,2,1
38,Department Manager,5,No,705,83,22822,18947,12,80,0,2
656,Business Development Associate,2,Yes,558,75,3010,9602,11,80,1,3
100,Business Development Associate,2,No,776,32,23016,4312,14,80,0,2
1260,Client Relations Executive,2,Yes,1329,82,4204,6623,11,80,2,2
84,Department Manager,4,Yes,836,33,19730,14756,14,80,3,2
1615,Operations Director,2,No,426,42,17000,4724,13,80,1,3
808,Business Development Associate,2,No,1111,93,13305,6500,17,80,1,1
1237,Operations Director,3,Yes,363,77,4235,10252,21,80,1,2
1321,Department Manager,3,Yes,634,95,25927,11916,23,80,2,2
1201,Department Manager,5,No,1223,50,18640,18606,18,80,1,6
760,HR Specialist,2,No,141,44,18767,6389,15,80,1,3
1938,Department Manager,4,Yes,605,72,11761,17875,13,80,1,2
645,Business Development Executive,1,No,622,40,26376,2096,11,80,0,1
1165,Business Development Associate,3,No,408,45,11162,7336,13,80,1,3
1471,Lab Analyst,1,No,981,90,7973,3162,14,80,0,5
1678,Business Development Associate,3,Yes,1206,80,11591,7082,16,80,0,2
665,HR Specialist,2,No,1112,50,26894,5985,11,80,0,1
865,Product Research Analyst,2,No,638,91,22162,5175,12,80,1,3
57,Lab Analyst,2,No,721,58,10781,4011,23,80,0,2
77,Operations Director,2,No,1115,51,2689,5993,18,80,1,2
30,Product Research Analyst,1,No,391,96,19281,1232,14,80,0,6
1975,Business Development Associate,4,No,119,77,25098,13341,12,80,0,3
508,Business Development Executive,1,No,202,72,17434,2476,18,80,1,3
152,Business Development Associate,3,No,1189,87,14506,7428,12,80,0,3
462,Operations Director,3,Yes,1232,39,25713,7143,14,80,0,2
1497,Business Development Associate,2,No,1246,77,23757,8620,14,80,2,3
529,Product Research Analyst,2,Yes,1063,72,23866,4449,15,80,2,2
1503,Business Development Associate,2,Yes,571,78,24200,4591,17,80,1,4
580,Business Development Associate,3,Yes,1125,94,11563,9071,19,80,1,3
374,Department Manager,5,Yes,452,81,18938,19045,14,80,0,2
1121,Operations Director,3,No,950,93,8039,7655,17,80,3,3
840,Business Development Associate,3,No,1184,43,5860,7654,18,80,2,3
1364,Business Development Executive,1,No,1291,98,6527,2534,14,80,1,4
1024,Client Relations Executive,3,No,1355,78,22245,10999,14,80,0,3
1119,Business Development Associate,3,Yes,770,73,5569,8740,14,80,2,2
487,Operations Director,2,No,1144,30,16044,5258,14,80,0,2
1853,Business Development Associate,2,No,1318,79,26075,4648,13,80,0,2
102,Product Research Lead,3,No,397,30,25258,13664,13,80,0,3
336,Department Manager,5,No,252,70,15970,19202,11,80,1,2
1645,Business Development Associate,2,Yes,763,59,22098,5440,14,80,2,2
1611,Lab Analyst,2,Yes,1015,50,23447,5769,14,80,0,3
947,Business Development Associate,2,No,1188,45,24406,6932,13,80,1,2
1084,Operations Director,2,No,1176,85,9096,9957,15,80,1,1
556,Lab Analyst,1,Yes,1490,42,12106,1702,23,80,1,3
192,Product Research Analyst,1,No,1316,83,9752,3452,13,80,0,2
91,Business Development Associate,2,No,1225,57,24668,5473,11,80,0,2
20,Operations Director,3,No,1389,51,10195,9980,11,80,1,1
1677,Department Manager,4,No,809,36,22384,15379,14,80,0,2
1502,Lab Analyst,1,No,1099,82,8192,3838,11,80,0,5
1441,Product Research Analyst,1,No,1255,90,10494,2066,22,80,1,3
1344,Client Relations Executive,3,No,943,86,5494,8500,11,80,1,0
1297,Lab Analyst,1,No,968,40,4257,2838,14,80,0,6
1775,Operations Director,4,Yes,661,60,22308,12965,20,80,3,2
803,Operations Director,2,Yes,240,75,26085,5980,12,80,0,2
566,HR Specialist,1,No,489,52,18437,2564,12,80,0,3
1240,Business Development Associate,2,No,1356,57,20623,4950,14,80,0,4
1127,Client Relations Executive,4,No,203,84,13547,12169,11,80,3,4
721,Client Relations Executive,2,No,408,80,20978,4553,11,80,0,4
416,Business Development Associate,2,No,218,100,12241,6929,11,80,1,3
1852,Lab Analyst,1,No,574,40,7003,3812,13,80,0,3
1839,Product Research Analyst,1,No,1431,33,8018,1514,16,80,0,4
573,Business Development Associate,3,No,1499,80,2845,10266,19,80,0,5
1101,Product Research Analyst,2,No,827,54,3129,4508,22,80,0,4
1177,Lab Analyst,1,No,1384,82,13421,4420,22,80,1,2
1377,Lab Analyst,2,No,285,86,17491,5429,13,80,2,1
379,Product Research Analyst,1,No,996,100,10531,3230,17,80,0,4
587,Client Relations Executive,3,No,534,66,22908,9824,12,80,0,2
470,HR Specialist,1,Yes,544,52,24017,2696,11,80,1,5
1005,Operations Director,4,Yes,939,95,4161,13973,18,80,1,2
1286,Lab Analyst,1,Yes,791,44,6842,2154,11,80,0,2
605,Operations Director,3,Yes,319,56,6950,7406,21,80,1,5
1662,Operations Director,2,No,894,33,15411,4374,15,80,0,6
56,Business Development Associate,3,No,994,37,2975,8726,15,80,0,0
1661,Client Relations Executive,4,Yes,465,41,11652,13966,19,80,1,3
1764,Product Research Analyst,1,No,953,65,17674,2718,14,80,0,3
450,Product Research Analyst,2,No,928,31,16885,4869,12,80,0,4
1279,Lab Analyst,1,No,251,45,25308,2625,20,80,0,2
134,Product Research Analyst,1,No,827,71,15178,2956,13,80,0,2
142,Business Development Associate,2,Yes,240,46,26959,5744,11,80,0,1
420,Business Development Associate,2,No,906,91,16985,5484,14,80,1,3
1457,Business Development Associate,3,No,377,52,15986,10096,11,80,1,1
241,Product Research Analyst,1,Yes,713,67,13939,4257,18,80,1,3
331,Lab Analyst,1,Yes,515,62,9571,3730,14,80,0,2
1390,Business Development Associate,2,Yes,1498,44,3567,6120,12,80,2,2
538,Lab Analyst,1,No,688,91,9396,4031,13,80,1,5
1749,Business Development Associate,2,No,1003,51,20943,8346,19,80,1,3
169,Lab Analyst,1,No,594,100,19299,2523,14,80,1,2
1069,Product Research Lead,5,No,430,40,21445,19627,17,80,2,0
471,Lab Analyst,1,No,1062,75,3956,2370,13,80,1,4
1573,Operations Director,2,No,903,81,7653,4855,11,80,2,2
621,Business Development Associate,2,No,258,74,19921,5337,12,80,0,3
1845,Business Development Associate,2,No,589,67,19665,5154,22,80,2,3
1674,Lab Analyst,1,Yes,464,74,24941,2587,16,80,1,2
1696,Lab Analyst,2,No,1157,57,11912,3986,14,80,1,3
833,Operations Director,2,Yes,946,52,20234,6877,24,80,0,4
41,Lab Analyst,1,No,125,83,16117,2206,13,80,0,5
1871,Product Research Analyst,2,No,835,41,5141,3902,14,80,3,2
569,Department Manager,4,No,1099,88,9314,17046,15,80,1,2
464,Operations Director,3,No,1296,62,18264,8095,13,80,0,5
474,Product Research Analyst,2,Yes,1319,51,17001,5974,13,80,2,2
1892,Department Manager,4,No,1137,98,18991,16823,11,80,1,3
2003,Lab Analyst,1,Yes,1490,43,20232,2660,11,80,1,3
1173,Lab Analyst,1,No,477,49,6409,3597,22,80,0,2
439,Product Research Analyst,2,No,1018,74,10557,5055,16,80,0,0
1541,Business Development Executive,1,Yes,1440,55,4944,2308,25,80,1,4
1580,Product Research Analyst,2,No,1351,45,13008,5484,17,80,1,3
223,Client Relations Executive,3,Yes,334,83,23402,9439,16,80,1,2
1815,Business Development Associate,3,Yes,796,81,26458,10447,13,80,1,3
1646,Product Research Analyst,1,Yes,567,32,17218,3760,13,80,0,2
1373,Operations Director,4,Yes,1369,68,18235,13402,12,80,1,0
498,Business Development Associate,2,No,304,92,20750,5253,16,80,0,1
319,Department Manager,5,No,532,58,4933,19232,11,80,0,3
1525,Operations Director,3,No,1089,32,9150,8376,18,80,0,3
406,Business Development Associate,3,No,1232,96,5100,8020,15,80,2,3
850,Product Research Analyst,1,No,443,50,16571,1706,11,80,3,6
1641,Operations Director,3,Yes,448,84,19948,7945,15,80,0,2
491,Client Relations Executive,3,No,1046,100,2755,10496,15,80,0,2
1821,Client Relations Executive,2,No,261,66,10842,8926,22,80,1,2
1097,Product Research Analyst,2,No,857,59,7909,3660,13,80,0,4
1822,Client Relations Executive,2,No,1194,52,9060,6513,17,80,1,3
81,Business Development Associate,3,No,1435,99,2354,7637,11,80,0,3
1419,HR Specialist,3,No,332,51,9769,7988,13,80,0,3
1998,Product Research Analyst,2,Yes,557,35,11189,5410,17,80,1,3
1514,Operations Director,2,No,1083,96,3173,6549,14,80,2,2
1206,Product Research Analyst,1,No,111,74,4279,2290,13,80,0,3
1258,Lab Analyst,1,No,969,76,16620,2559,11,80,0,4
809,Department Manager,5,No,570,66,16225,18430,13,80,1,4
1369,Lab Analyst,2,No,817,60,10846,5363,12,80,1,0
271,Operations Director,2,No,1261,88,7259,6553,14,80,0,3
744,Lab Analyst,1,No,381,49,2104,3708,14,80,0,5
1137,Business Development Associate,2,No,1182,54,18500,4968,11,80,1,3
1281,Business Development Associate,2,Yes,131,86,6039,4538,12,80,0,3
734,Department Manager,5,No,314,59,19562,19189,12,80,1,3
730,Product Research Lead,4,No,970,59,13514,14814,19,80,0,3
39,Lab Analyst,1,No,924,78,6670,2496,11,80,0,3
74,Business Development Associate,3,No,853,71,11031,9069,22,80,1,3
1693,Lab Analyst,1,No,786,76,11925,2570,20,80,0,5
1480,Lab Analyst,1,No,748,74,16458,3673,13,80,0,3
549,Department Manager,5,No,422,41,3854,19566,11,80,0,5
1547,Client Relations Executive,3,Yes,288,40,18611,10124,14,80,1,3
555,Business Development Executive,1,No,296,33,12253,2351,16,80,1,3
1358,Lab Analyst,1,No,882,67,9075,3669,11,80,3,6
1125,Business Development Associate,3,No,130,32,20619,7351,16,80,0,2
2057,Operations Director,2,No,325,74,3787,9936,19,80,0,2
571,Lab Analyst,1,No,1116,49,7181,2564,14,80,0,2
479,Business Development Associate,2,No,845,45,15276,6653,15,80,0,6
1375,Client Relations Executive,2,No,1202,89,13888,6377,20,80,3,0
424,HR Specialist,2,No,106,62,17822,6410,12,80,0,1
1484,Client Relations Executive,3,No,1490,35,20948,10466,14,80,2,3
132,Lab Analyst,2,No,489,67,25043,2042,12,80,1,3
647,Lab Analyst,1,Yes,1287,55,14168,2886,16,80,1,4
380,Product Research Lead,3,Yes,728,80,11677,13603,18,80,2,2
1487,Business Development Associate,2,No,115,51,17485,5765,11,80,0,4
1997,Operations Director,2,No,508,72,14284,5321,11,80,1,1
1244,Product Research Analyst,1,Yes,1103,42,14377,2235,14,80,2,3
1428,Business Development Associate,2,No,855,73,12761,4779,14,80,2,3
1555,Product Research Analyst,2,No,824,67,15624,5878,12,80,1,2
1243,Business Development Associate,3,Yes,1212,78,13755,10377,11,80,1,6
995,Product Research Analyst,1,No,461,53,17241,3452,18,80,0,4
832,Lab Analyst,2,No,720,51,11983,5094,14,80,0,6
650,Business Development Associate,2,No,1365,46,11512,4233,17,80,0,2
1306,Department Manager,5,No,364,83,13035,18061,22,80,0,4
1950,Business Development Associate,3,No,937,32,6770,9888,21,80,0,3
1148,Lab Analyst,2,No,188,56,9558,4272,19,80,0,3
1627,Lab Analyst,2,No,170,76,10302,3069,15,80,1,3
2026,Client Relations Executive,2,No,667,57,26236,6306,21,80,1,2
1106,Lab Analyst,1,Yes,1219,32,4605,3691,15,80,1,3
1032,Operations Director,4,Yes,715,69,21829,13726,13,80,0,4
671,Department Manager,5,Yes,1315,35,9358,19513,12,80,1,2
328,Lab Analyst,1,No,465,39,21509,2707,20,80,0,3
1289,HR Specialist,2,No,648,56,21833,4490,11,80,2,5
796,Business Development Associate,2,No,1146,38,3064,5326,17,80,0,2
1288,Department Manager,5,No,1199,92,17477,19190,14,80,2,4
689,Operations Director,3,No,482,36,9606,9434,15,80,1,2
1980,Operations Director,2,Yes,157,77,25198,4440,19,80,0,3
579,Product Research Analyst,1,No,1303,62,8416,2768,12,80,1,3
1594,Lab Analyst,2,Yes,1302,80,19711,5562,13,80,1,3
287,Client Relations Executive,2,No,1151,63,14242,4876,14,80,1,5
2065,Business Development Associate,2,No,1023,63,13243,5390,14,80,0,3
1132,Lab Analyst,2,No,439,70,8770,6782,15,80,0,2
731,Department Manager,5,No,427,73,8861,19141,15,80,3,2
329,Department Manager,5,Yes,771,79,21030,19068,18,80,0,2
76,Lab Analyst,2,No,655,48,9528,5915,22,80,1,3
1724,Operations Director,2,Yes,369,92,5041,6516,16,80,1,3
441,Product Research Analyst,2,No,1275,64,11934,5775,13,80,2,2
495,Product Research Analyst,1,No,1283,54,18168,2201,16,80,0,4
977,Product Research Analyst,1,No,289,51,26227,2479,24,80,0,4
964,Product Research Analyst,1,Yes,1469,35,25063,3617,14,80,1,2
1666,Product Research Lead,4,No,1291,65,3525,17603,24,80,1,3
868,Business Development Associate,2,No,342,66,24558,6334,19,80,2,2
1241,Product Research Analyst,1,Yes,1465,63,9369,3579,21,80,1,2
1482,Product Research Analyst,1,No,990,64,7152,1274,13,80,2,2
1597,Client Relations Executive,2,No,653,92,15332,5063,14,80,1,3
1395,Business Development Associate,2,No,1111,61,19293,9998,13,80,0,2
944,Lab Analyst,3,No,527,51,22477,7403,11,80,1,3
323,Department Manager,5,No,854,68,24118,19517,11,80,1,3
567,Business Development Associate,3,No,1398,69,2890,8412,11,80,0,3
269,Lab Analyst,2,No,138,37,15986,4425,11,80,0,5
1731,Business Development Associate,2,No,543,87,3536,4978,11,80,1,3
105,Product Research Analyst,1,No,1214,30,26278,2859,18,80,0,3
1941,Product Research Lead,5,No,1064,42,13738,19161,15,80,0,3
1599,Lab Analyst,1,No,990,87,5855,4876,12,80,1,0
147,Lab Analyst,2,Yes,658,66,22887,6074,24,80,0,3
1754,Business Development Associate,3,No,979,94,3088,7140,11,80,1,2
1673,Business Development Associate,2,No,1112,67,22589,5476,11,80,2,2
1314,HR Specialist,1,No,991,44,22957,3423,12,80,0,3
920,Operations Director,2,No,177,55,23814,4765,21,80,1,2
1737,Lab Analyst,2,Yes,792,77,8989,6472,15,80,1,2
1708,Business Development Associate,3,No,918,35,15869,9241,12,80,0,3
791,Product Research Analyst,1,No,715,41,26589,4258,18,80,1,3
475,Business Development Associate,2,Yes,641,85,6069,4736,12,80,1,2
1576,Product Research Analyst,1,No,1108,65,16530,2367,12,80,1,3
1544,Client Relations Executive,2,No,441,39,7288,9715,13,80,1,3
431,Client Relations Executive,4,Yes,1091,90,17810,13964,12,80,0,2
2052,Product Research Analyst,1,No,287,62,8952,2977,12,80,1,5
1507,Business Development Associate,2,No,467,55,11827,4898,14,80,0,5
951,Lab Analyst,1,No,1184,70,3974,2332,20,80,0,3
524,Operations Director,2,No,480,31,4156,4306,12,80,1,5
786,Business Development Associate,2,No,304,60,18686,6274,22,80,0,5
775,Operations Director,2,No,167,32,4187,5121,14,80,1,3
1317,Product Research Lead,4,Yes,1322,43,22422,16880,11,80,0,2
715,Product Research Analyst,1,No,1225,80,15232,4680,17,80,0,2
903,Business Development Associate,2,Yes,249,35,17783,4537,22,80,1,2
1551,Lab Analyst,1,No,350,57,10036,2296,14,80,3,3
1012,Product Research Analyst,1,No,287,73,13493,1051,15,80,0,2
349,Business Development Associate,2,No,1247,45,10732,6931,14,80,1,2
1654,Operations Director,2,No,492,66,7693,5295,21,80,0,3
1881,Lab Analyst,2,No,311,89,18624,4197,11,80,1,2
1890,HR Specialist,2,No,1213,94,4223,3886,21,80,0,2
1383,Client Relations Executive,2,No,404,98,6163,6687,11,80,0,2
1049,HR Specialist,1,No,788,36,8318,2177,16,80,0,3
113,Business Development Executive,1,No,541,62,9518,2322,13,80,1,3
1966,Operations Director,2,No,1373,56,10138,9679,24,80,0,1
366,Business Development Associate,2,No,1210,78,3687,6644,19,80,2,2
857,Business Development Associate,2,Yes,928,56,2823,6201,14,80,1,1
2046,Business Development Associate,2,No,374,50,23333,4850,15,80,0,3
1707,Product Research Analyst,1,No,581,62,17616,4401,16,80,1,1
1563,HR Specialist,2,No,888,71,14814,6077,11,80,0,2
702,Product Research Analyst,1,Yes,1076,70,3164,3348,11,80,0,3
986,Business Development Associate,4,Yes,1479,100,17071,13194,16,80,0,2
305,Product Research Analyst,1,No,147,47,13248,2622,21,80,0,3
150,Lab Analyst,1,No,1127,52,13257,2774,12,80,1,2
1135,Business Development Executive,1,No,793,67,21981,2791,12,80,1,4
776,Department Manager,4,No,621,31,10084,16856,11,80,0,3
240,Business Development Associate,2,Yes,1268,30,6319,5006,11,80,1,3
1267,Department Manager,5,No,1099,88,8751,18213,11,80,1,5
1102,Lab Analyst,1,No,895,50,22482,2207,16,80,1,5
1789,Product Research Lead,5,Yes,734,46,14218,19328,17,80,1,3
1824,Department Manager,4,No,350,52,22577,16291,22,80,1,0
1312,Client Relations Executive,3,No,325,63,5747,7094,12,80,0,0
391,Product Research Analyst,1,No,1372,42,15881,2115,12,80,0,3
1543,Product Research Analyst,2,No,674,47,3031,4285,17,80,0,2
564,Product Research Lead,3,No,986,93,21526,11935,18,80,0,2
1651,Client Relations Executive,3,No,711,42,22792,8008,12,80,2,6
40,Client Relations Executive,2,Yes,1459,41,19121,6465,13,80,0,5
728,Business Development Associate,2,No,703,42,11825,4960,12,80,0,2
291,Business Development Associate,3,No,1045,32,25812,10400,11,80,0,2
1903,Client Relations Executive,2,No,170,78,9364,5033,15,80,1,5
1516,Department Manager,3,No,495,64,21072,11244,25,80,0,5
1447,Lab Analyst,1,No,401,86,3708,3294,17,80,1,2
874,Lab Analyst,1,Yes,986,62,5044,2818,24,80,1,2
1250,Product Research Lead,4,No,685,85,23474,17779,14,80,0,2
1255,Product Research Lead,5,No,920,96,18625,19740,14,80,1,2
256,Operations Director,2,No,1069,45,14074,9547,17,80,0,2
510,Product Research Analyst,1,No,575,73,6582,3102,22,80,0,2
1355,Business Development Associate,2,No,1009,31,19461,6893,15,80,1,3
1927,Business Development Associate,2,Yes,783,42,19255,6834,12,80,1,2
1411,Lab Analyst,1,No,1462,94,19106,3629,18,80,0,6
107,Product Research Analyst,2,Yes,573,79,15717,5329,12,80,3,3
1836,Business Development Associate,2,No,572,46,9125,4684,13,80,0,4
62,Business Development Associate,2,Yes,1211,98,20445,5772,21,80,0,4
208,Operations Director,2,No,1496,41,26283,4319,13,80,1,1
824,Product Research Analyst,1,No,1252,81,23779,2700,24,80,1,3
1581,Product Research Analyst,1,No,474,89,11133,2061,21,80,0,5
1981,Client Relations Executive,2,No,771,45,14120,4617,12,80,0,2
1464,Lab Analyst,1,Yes,523,94,21081,3722,13,80,1,2
1557,Business Development Associate,2,No,492,96,13693,6439,14,80,1,2
1691,Business Development Executive,1,Yes,708,95,11740,2655,11,80,2,3
2041,Business Development Associate,2,No,345,100,5982,5343,11,80,1,1
655,Product Research Analyst,1,No,798,66,5013,2187,12,80,2,5
245,Lab Analyst,1,No,1380,75,6319,2288,12,80,0,3
1029,Department Manager,5,No,265,90,7770,18303,13,80,0,3
1712,Client Relations Executive,3,No,1238,74,3395,10748,23,80,1,3
507,Business Development Associate,2,Yes,1371,77,5915,4260,12,80,1,2
649,Product Research Analyst,1,Yes,254,83,22794,3622,13,80,1,3
1083,Lab Analyst,1,No,192,59,11141,3955,16,80,2,2
1716,Business Development Associate,4,No,1093,82,24164,12936,11,80,0,3
1653,Operations Director,2,No,772,77,4973,5206,17,80,2,6
466,Operations Director,2,Yes,483,95,10110,6032,15,80,0,3
1657,Business Development Executive,1,No,1141,31,13251,2783,19,80,0,3
608,HR Specialist,1,Yes,426,58,22808,2741,11,80,1,2
785,Business Development Associate,2,Yes,719,77,10339,6397,12,80,0,2
792,Lab Analyst,1,No,575,71,5288,4364,14,80,1,2
1640,Product Research Analyst,1,No,1470,71,9953,3936,11,80,1,2
335,Product Research Analyst,2,No,1300,62,24447,3319,17,80,2,3
1987,HR Specialist,1,No,309,82,19655,2187,14,80,0,3
1934,Product Research Analyst,2,No,1169,64,2125,5467,18,80,1,4
1883,Lab Analyst,1,No,592,59,19384,2062,14,80,0,2
1585,Business Development Associate,2,No,884,73,21447,6815,13,80,0,5
1478,Business Development Associate,2,No,1326,81,15891,4759,18,80,0,2
1965,Business Development Associate,2,No,954,44,5099,4105,14,80,0,5
722,Business Development Associate,2,No,929,55,21703,5396,12,80,0,2
1606,Client Relations Executive,4,Yes,1234,41,20689,11245,15,80,1,3
1179,Business Development Associate,2,No,852,72,2706,6578,18,80,1,3
494,Business Development Executive,1,No,156,90,25422,2716,15,80,0,0
72,Business Development Associate,2,Yes,1443,47,21436,4157,19,80,1,2
844,Product Research Lead,3,Yes,269,42,8842,12808,16,80,1,3
754,Business Development Associate,2,No,775,47,23683,6804,18,80,1,5
426,Product Research Analyst,1,Yes,192,32,7747,2695,18,80,1,2
1554,Business Development Executive,1,No,1402,98,26204,2430,23,80,2,5
144,Lab Analyst,1,No,534,59,23785,2871,15,80,0,5
1703,Client Relations Executive,3,Yes,921,96,14810,7879,19,80,1,2
133,HR Specialist,1,Yes,807,63,23648,2073,22,80,0,3
551,Client Relations Executive,2,No,1368,88,4386,4523,11,80,3,4
894,Lab Analyst,2,Yes,1265,95,23726,5231,13,80,1,1
367,Client Relations Executive,2,No,1463,64,14408,5582,21,80,1,2
1221,Lab Analyst,1,No,917,60,6865,2741,14,80,1,4
405,Lab Analyst,1,No,230,54,25233,1420,13,80,0,2
746,Business Development Associate,4,Yes,217,49,10225,13770,12,80,2,2
1265,Product Research Analyst,1,No,1320,89,21643,2585,17,80,0,5
940,Client Relations Executive,3,Yes,1272,37,9255,10552,13,80,1,3
501,Product Research Analyst,1,No,329,96,11868,2543,13,80,1,3
392,Lab Analyst,1,Yes,920,43,19920,3161,22,80,1,0
1985,Lab Analyst,2,No,692,73,26849,6323,11,80,1,2
1969,Product Research Analyst,2,No,155,67,22474,2897,11,80,2,6
165,Client Relations Executive,3,No,147,94,3465,10312,12,80,1,3
1702,Business Development Executive,1,Yes,427,99,25103,2275,21,80,1,2
399,Business Development Executive,1,No,444,84,3909,2789,11,80,1,5
724,Client Relations Executive,2,No,827,33,19383,7625,13,80,0,4
1638,Operations Director,3,Yes,397,54,14199,7756,19,80,1,6
930,Product Research Analyst,1,No,995,77,9834,2377,18,80,1,2
476,Business Development Associate,2,No,933,57,20156,5296,17,80,1,3
233,Product Research Analyst,1,Yes,1157,51,13364,3058,16,80,1,3
2038,Product Research Analyst,1,No,529,78,11288,2439,14,80,0,4
1196,Operations Director,2,No,977,56,9961,6474,13,80,1,2
1650,Business Development Associate,2,No,469,42,23413,5869,11,80,0,2
288,Client Relations Executive,3,No,644,97,12368,9396,16,80,1,3
1614,Operations Director,2,Yes,559,76,12421,4663,12,80,2,2
190,Lab Analyst,1,No,1033,41,10224,4200,22,80,0,2
1609,Product Research Analyst,1,No,241,48,5348,2141,12,80,1,3
1324,Business Development Associate,3,Yes,587,57,8935,9852,19,80,1,5
1823,Business Development Associate,2,No,810,92,22128,6799,21,80,2,5
1642,HR Specialist,2,Yes,602,37,10503,5743,11,80,0,3
918,Lab Analyst,1,Yes,781,57,13384,2380,14,80,1,3
