EmployeeNumber,EnvironmentSatisfaction,JobInvolvement,JobSatisfaction,PerformanceRating,RelationshipSatisfaction,WorkLifeBalance
671,4,3,4,3,1,4
328,1,3,1,4,1,4
1289,3,2,2,3,4,4
796,4,2,1,3,3,2
1288,3,4,1,3,4,2
689,3,3,3,3,3,3
1980,3,3,1,3,4,3
579,4,2,3,3,3,3
1594,1,4,1,3,4,3
287,4,2,4,3,4,1
2065,4,2,2,3,4,2
1132,3,3,2,3,3,2
731,2,2,4,3,2,2
329,1,2,3,3,4,4
76,4,3,4,4,4,2
1724,2,3,1,3,2,3
441,4,3,4,3,4,3
495,4,3,4,3,4,3
977,4,3,3,4,1,3
964,4,3,2,3,4,3
1666,3,2,3,4,1,3
868,4,2,3,3,4,3
1241,4,3,2,4,1,3
1482,3,3,3,3,2,2
1597,4,2,3,3,2,2
1395,2,3,4,3,1,4
944,1,3,2,3,3,2
323,4,3,4,3,3,2
567,3,3,1,3,3,3
269,2,3,2,3,4,3
1731,3,3,2,3,4,1
105,2,2,3,3,1,3
1941,2,3,4,3,4,3
1599,4,4,2,3,3,3
147,1,1,3,4,4,3
1754,3,2,1,3,1,3
1673,1,3,4,3,1,3
1314,4,3,1,3,3,4
920,1,3,2,4,3,4
1737,4,3,4,3,4,3
1708,4,3,3,3,2,3
791,4,3,4,3,1,3
475,4,3,3,3,2,4
1576,3,3,1,3,4,2
1544,3,1,1,3,3,3
431,3,2,3,3,4,3
2052,3,1,4,3,4,3
1507,3,3,1,3,4,3
951,3,2,2,4,3,3
524,2,3,1,3,2,1
786,4,3,4,4,3,3
775,2,3,1,3,3,3
1317,4,3,1,3,2,3
715,4,4,4,3,1,3
903,3,3,4,4,1,3
1551,3,2,1,3,2,3
1012,2,3,4,3,4,3
349,4,3,4,3,4,3
1654,4,3,2,4,3,3
1881,2,3,3,3,1,3
1890,2,2,4,4,4,2
1383,3,3,4,3,4,4
1049,2,3,2,3,1,3
113,3,3,1,3,3,3
1966,4,2,4,4,2,3
366,1,2,2,3,2,3
857,2,3,4,3,4,2
2046,4,3,3,3,3,3
1707,3,4,3,3,4,3
1563,3,3,3,3,3,3
702,1,3,1,3,1,3
986,2,4,2,3,4,2
305,3,2,2,4,4,3
150,2,3,3,3,3,3
1135,3,4,4,3,1,3
776,3,2,1,3,1,4
240,3,3,1,3,1,4
1267,2,3,2,3,3,3
1102,1,3,3,3,4,2
1789,3,3,4,3,3,3
1824,2,3,2,4,4,2
1312,4,3,3,3,1,3
391,4,3,4,3,2,3
1543,1,3,4,3,1,3
564,2,2,3,3,3,3
1651,2,3,1,3,3,3
40,4,3,4,3,4,4
728,4,3,1,3,4,3
291,4,1,4,3,3,2
1903,2,4,1,3,4,3
1516,3,3,4,4,2,4
1447,4,2,2,3,1,2
874,1,4,4,4,3,2
1250,4,3,4,3,1,3
1255,3,1,4,3,2,3
256,4,2,3,3,3,2
510,3,3,1,4,3,3
1355,2,3,1,3,4,3
1927,3,2,4,3,3,3
1411,1,3,3,3,1,3
107,2,1,4,3,4,3
1836,3,3,4,3,1,3
62,1,3,4,4,3,3
208,4,3,3,3,1,3
824,3,4,3,4,3,3
1581,1,3,4,4,1,3
1981,2,2,3,3,2,2
1464,2,3,4,3,3,1
1557,3,3,3,3,3,3
1691,4,3,3,3,3,3
2041,1,3,4,3,3,3
655,1,2,3,3,3,2
245,3,3,4,3,3,3
1029,4,3,3,3,2,4
1712,3,2,3,4,4,2
507,4,3,3,3,4,4
649,2,2,4,3,4,3
1083,1,2,1,3,1,3
1716,3,1,3,3,3,1
1653,4,4,3,3,3,3
466,4,2,2,3,4,3
1657,3,3,3,3,1,3
608,2,3,3,3,2,2
785,2,4,3,3,4,3
792,1,1,4,3,1,3
1640,2,3,2,3,1,1
335,1,3,4,3,1,3
1987,3,3,2,3,3,3
1934,3,3,2,3,3,4
1883,4,3,1,3,2,3
1585,2,3,3,3,1,3
1478,4,1,1,3,4,3
1965,4,3,4,3,1,3
722,4,3,4,3,4,2
1606,2,3,3,3,3,3
1179,3,2,3,3,1,3
494,3,4,2,3,4,3
72,3,2,4,3,3,2
844,3,2,4,3,2,3
754,4,2,4,3,3,3
426,3,3,4,3,2,1
1554,2,2,3,4,1,3
144,2,3,4,3,3,3
1703,3,4,4,3,2,3
133,3,3,1,4,4,3
551,4,2,4,3,4,4
894,3,4,4,3,2,2
367,2,2,4,4,2,3
1221,3,1,3,3,3,3
405,3,3,3,3,3,3
746,4,3,3,3,4,2
1265,3,4,3,3,4,2
940,3,2,2,3,4,3
501,4,3,3,3,2,3
392,4,3,3,4,4,1
1985,4,3,3,3,1,4
1969,1,3,3,3,3,2
165,4,3,4,3,4,2
1702,3,3,4,4,2,3
399,4,3,2,3,3,2
724,2,4,4,3,3,2
1638,4,2,3,3,4,4
930,3,3,3,3,2,3
476,3,3,3,3,2,3
233,3,3,2,3,4,2
2038,4,3,1,3,4,3
1196,4,2,4,3,2,2
1650,3,2,3,3,3,3
288,4,3,1,3,3,3
1614,3,3,3,3,2,3
190,1,3,1,4,1,4
1609,2,2,2,3,2,2
1324,4,3,3,3,1,2
1823,2,4,3,4,3,3
1642,1,3,4,3,3,3
918,4,2,4,3,4,2
1333,1,3,1,3,3,4
1912,3,3,4,3,4,3
273,4,3,4,3,1,1
854,1,4,1,3,3,2
826,4,4,3,3,3,3
949,2,3,4,3,3,3
2024,1,2,4,3,3,3
1812,3,3,4,3,4,3
14,1,4,2,3,3,3
199,4,2,1,3,2,2
967,3,2,4,3,1,3
388,2,3,4,3,1,2
407,3,4,4,3,4,3
817,3,3,3,3,4,4
397,3,3,2,3,4,3
634,3,3,3,3,3,3
799,4,3,1,3,2,3
1440,3,4,3,3,1,1
1044,2,2,4,3,4,2
2055,4,2,1,3,2,3
170,3,3,1,3,3,2
1477,4,3,1,3,1,3
449,3,3,2,3,4,3
440,1,1,4,3,4,2
909,4,2,4,3,3,3
1569,1,3,1,3,4,3
997,4,3,4,4,3,2
178,2,3,2,4,4,3
1780,2,3,2,3,2,3
644,1,3,2,3,3,3
1118,2,3,2,3,4,3
582,2,3,3,3,4,4
1827,3,2,2,3,3,3
872,4,2,4,4,1,1
828,3,3,3,3,4,2
1681,3,3,4,4,3,3
215,3,2,4,3,1,2
1371,4,1,4,4,2,3
2012,1,3,4,3,3,2
1096,4,3,2,3,2,3
1108,1,2,2,4,2,3
970,1,2,3,3,3,1
1779,4,1,4,3,1,3
1280,4,2,2,3,3,3
1582,3,3,2,3,4,3
1311,1,2,4,3,1,3
847,3,3,4,3,3,1
1658,4,3,2,3,3,3
2036,4,1,4,4,1,2
2040,3,3,4,3,3,3
586,4,3,3,3,3,3
1740,2,3,2,3,2,2
128,1,3,3,4,1,2
981,3,3,3,3,3,4
1671,4,3,2,3,3,2
1504,3,2,1,3,3,2
1501,4,3,3,3,2,3
548,3,1,4,4,3,3
848,3,2,3,3,1,3
811,3,4,1,4,3,3
211,2,2,3,3,3,3
827,4,2,4,3,4,3
856,3,2,1,3,4,2
600,2,3,3,3,3,3
701,4,3,3,3,4,3
1387,3,2,1,3,3,3
1202,2,1,4,3,1,2
520,1,2,2,3,3,3
1180,3,2,4,3,4,1
1192,2,3,4,3,1,3
1863,1,4,1,3,4,3
1792,3,3,2,3,3,2
1443,1,3,3,3,2,4
772,1,3,4,3,4,3
662,3,3,1,3,4,2
1352,3,3,2,3,2,3
422,4,1,3,3,4,3
620,1,3,3,3,4,3
1465,2,3,4,3,4,4
762,3,3,4,3,3,2
1062,4,3,2,3,1,2
1700,3,1,4,3,3,2
985,1,4,3,3,4,3
1182,3,2,2,3,2,4
1070,3,2,3,3,2,3
1046,4,3,3,3,2,3
473,1,3,3,4,2,1
998,3,4,2,3,1,3
163,2,1,3,3,2,2
244,2,3,1,4,3,3
393,4,3,4,3,2,3
1995,4,3,2,3,1,3
1706,4,3,4,3,1,3
403,2,3,4,3,3,2
445,4,3,3,3,1,2
869,2,2,4,3,4,3
2049,3,3,3,3,4,4
117,3,2,4,3,1,3
1307,3,2,2,3,4,3
1866,1,2,3,3,4,3
764,4,2,1,3,1,1
936,3,2,3,3,1,3
1916,1,4,3,3,2,2
932,4,3,1,4,4,1
1264,4,2,4,3,2,2
396,3,3,1,3,4,3
1961,1,2,1,3,1,2
2008,2,3,3,3,2,3
468,1,3,4,3,2,3
1537,4,3,3,3,1,1
1951,4,3,3,3,3,2
924,3,3,4,3,1,2
800,3,3,4,3,2,3
615,3,1,1,3,3,3
1535,4,2,3,3,4,3
451,3,3,1,3,1,2
1453,1,3,4,3,1,3
1999,4,3,4,4,1,3
1956,4,1,1,4,2,3
1922,2,3,3,3,3,3
446,2,2,4,3,3,2
434,3,3,2,3,2,2
2061,3,4,4,3,3,3
1698,2,4,2,3,4,3
16,1,3,3,3,4,2
235,3,1,1,4,1,4
359,2,4,2,4,3,1
1133,1,3,4,4,1,3
1794,3,3,2,3,3,2
1056,4,3,2,4,2,3
183,1,2,3,3,4,3
816,2,2,1,3,4,3
1120,3,3,4,4,1,3
1035,2,1,3,4,2,3
184,3,3,4,3,4,1
1800,3,3,3,4,3,3
1783,3,3,1,3,3,3
308,3,1,3,3,4,3
1045,4,3,4,3,2,4
547,1,3,3,3,2,3
442,3,2,3,4,1,3
408,4,1,2,3,4,3
1184,4,2,1,4,3,3
992,4,3,3,3,4,3
1962,3,3,4,3,4,3
1986,2,3,2,3,3,3
1268,4,4,3,3,4,3
1163,2,3,3,4,1,2
683,2,3,4,3,4,2
1015,2,4,1,3,3,2
5,4,3,3,3,3,3
1002,4,3,1,3,3,3
626,1,3,2,3,4,3
438,4,3,4,3,4,3
8,4,3,4,3,3,2
1301,4,3,1,3,2,2
1407,1,2,4,3,4,3
1004,1,3,3,3,2,3
52,3,4,1,3,1,3
743,3,3,3,3,4,4
334,3,3,1,3,1,2
179,1,1,4,3,4,3
837,1,2,1,3,3,2
1864,2,2,3,4,4,3
901,4,3,4,3,3,3
1479,4,3,3,3,3,2
1876,2,3,4,3,3,2
806,4,1,3,4,3,3
1423,4,3,1,4,3,3
1047,2,4,4,3,4,2
1918,3,4,4,3,1,3
500,3,3,4,3,3,2
429,3,3,1,3,4,3
592,2,3,4,3,4,2
436,3,2,2,3,4,3
1071,1,3,3,3,2,3
1483,2,4,3,4,1,2
568,1,2,4,3,3,2
763,4,2,4,4,4,2
2023,4,3,1,3,1,2
1689,2,4,4,3,3,3
1675,4,2,2,4,2,3
829,3,3,2,3,2,3
312,2,3,4,3,4,3
2015,2,1,3,3,1,3
1993,1,3,3,4,2,3
1309,4,3,3,3,1,3
1621,2,4,1,3,4,3
85,2,2,2,3,3,3
1420,1,2,1,4,1,3
804,3,2,1,3,3,3
1322,1,3,3,3,1,3
292,3,2,3,4,3,3
1391,2,3,2,3,2,3
1291,3,3,3,3,4,3
732,1,3,1,3,4,3
2044,2,3,3,3,4,3
1546,4,3,4,4,4,3
112,4,1,4,3,1,2
1857,4,3,4,3,3,2
1768,2,3,2,4,2,2
1697,3,1,4,4,3,4
879,3,3,1,3,4,3
1858,3,3,4,3,2,3
1572,3,2,4,3,2,3
1936,1,3,1,4,4,3
1867,4,2,2,3,4,3
378,3,3,4,3,2,4
1392,4,3,4,3,1,2
484,1,3,4,4,3,2
859,2,3,4,3,3,2
4,4,2,3,3,2,3
10,3,4,1,4,1,2
425,1,3,1,3,1,3
881,4,3,2,3,1,2
1257,3,3,2,3,3,2
2037,3,2,2,3,3,3
298,4,3,4,3,3,3
1292,2,4,2,3,4,3
35,3,3,2,3,4,3
1495,4,3,2,3,3,3
1157,1,3,1,3,1,3
902,4,3,4,3,2,2
885,3,2,1,3,1,4
1006,3,3,3,3,2,2
1515,4,3,3,3,1,3
862,1,2,4,3,4,3
1126,3,3,1,3,3,3
351,4,2,1,3,3,3
32,3,3,3,3,4,2
454,2,1,1,3,4,2
793,2,3,3,3,1,2
61,2,3,2,4,1,3
141,1,3,2,3,1,2
469,4,3,3,3,1,2
73,1,3,4,3,3,3
1074,3,2,1,3,2,4
296,2,2,2,3,4,1
159,1,1,3,4,3,2
1256,1,2,3,3,3,4
987,3,4,3,3,3,4
95,3,3,2,3,2,3
1856,2,3,3,3,3,3
1308,1,3,3,3,4,3
58,2,3,3,3,4,3
2054,4,2,1,3,2,1
716,4,4,3,3,3,3
2010,3,2,2,3,3,3
1608,2,3,4,3,4,2
1152,3,4,3,3,4,4
1053,1,3,1,3,2,3
729,4,2,1,4,3,3
834,2,2,3,3,4,3
624,1,3,3,3,4,2
1082,2,2,1,3,1,2
1755,4,4,4,3,1,3
1034,3,3,2,3,4,3
1269,2,4,4,3,4,3
78,1,3,4,4,2,3
1449,3,3,3,3,3,4
121,3,2,2,3,2,2
926,2,3,3,3,1,4
945,4,3,3,3,1,2
264,1,2,4,4,4,3
386,3,3,3,3,4,2
481,1,2,4,3,1,3
710,2,1,4,3,4,3
1080,4,2,1,4,1,3
1025,4,3,3,3,2,3
248,2,3,2,4,4,2
1401,4,4,3,3,2,2
145,1,2,1,4,3,2
55,1,1,3,3,3,2
1556,3,3,4,4,4,2
282,2,3,1,3,2,3
1613,4,3,1,3,4,3
68,2,3,1,4,3,2
747,3,3,4,4,4,2
1331,4,3,2,3,1,4
1405,4,3,3,3,4,3
1136,1,2,2,3,1,1
1009,4,2,3,3,2,3
249,3,2,3,3,4,2
182,4,2,3,3,3,4
1298,3,3,3,3,3,3
104,4,2,4,3,3,2
1669,1,2,2,3,2,2
140,3,2,4,4,4,3
742,1,4,1,3,1,3
994,4,2,1,4,3,3
648,2,2,1,3,3,4
226,3,3,2,3,2,3
340,3,2,1,3,1,2
421,1,2,2,3,3,3
599,4,3,4,3,4,3
1762,4,2,1,3,3,3
452,4,3,4,3,1,3
129,2,3,3,3,2,4
1954,1,3,1,3,1,2
1109,4,3,1,3,4,3
1263,4,2,4,3,3,4
137,4,2,4,3,2,3
581,3,3,2,4,4,4
1722,3,1,2,3,2,3
1844,1,2,1,3,4,3
1171,2,3,1,3,4,4
2045,2,2,4,3,1,2
412,2,4,1,3,3,3
1734,1,1,2,3,2,3
1682,1,3,3,3,2,2
517,2,3,1,3,2,3
327,4,3,4,4,3,3
1710,3,3,4,3,3,2
369,2,4,1,3,4,3
419,2,3,2,3,3,3
154,2,3,4,3,3,3
1668,4,3,4,3,4,4
939,3,2,1,3,2,3
341,1,4,3,3,4,3
1898,1,4,3,3,2,2
1489,1,2,2,4,3,4
94,3,3,2,4,4,3
125,2,3,3,3,1,3
1124,1,3,3,3,4,3
42,4,3,4,3,3,4
1523,4,3,1,3,3,4
601,2,3,3,3,3,3
597,1,3,2,4,4,3
999,1,3,3,3,2,4
1188,1,1,3,3,2,2
1583,2,3,2,3,2,4
1752,2,1,2,3,3,3
1417,3,4,1,3,4,3
101,4,3,1,3,2,4
110,1,3,2,3,3,3
1382,4,4,3,3,4,3
106,1,3,4,3,4,3
614,2,3,2,3,4,3
1628,1,2,3,3,4,3
942,4,3,4,4,4,1
1315,3,1,4,3,1,3
1680,4,3,1,3,1,3
584,1,1,4,3,1,3
895,4,3,4,3,2,3
1092,1,3,4,4,4,3
1215,4,3,1,4,3,3
1648,4,3,4,3,3,2
536,3,3,1,3,4,3
1790,4,3,1,3,4,3
1472,4,4,2,3,2,2
1803,2,4,1,3,3,2
139,3,2,4,3,4,4
843,2,3,1,4,3,3
1270,4,3,3,4,4,3
1409,3,3,1,3,3,1
1249,1,3,4,3,1,3
80,2,2,3,3,4,2
387,2,3,3,4,3,3
2068,2,4,3,3,1,4
330,3,3,2,3,1,3
307,1,3,3,3,3,2
197,4,3,1,3,4,3
1935,4,2,1,3,3,3
497,4,3,2,3,2,3
155,1,3,4,4,1,3
1802,3,3,1,3,4,2
342,1,3,3,3,2,3
1994,2,2,3,3,3,2
13,3,3,3,3,2,2
602,3,3,3,3,1,3
990,1,3,4,3,4,3
350,1,3,3,3,4,3
823,3,3,2,3,1,3
518,3,3,2,3,4,2
1282,4,3,2,4,1,2
1655,1,3,2,3,2,3
771,4,3,1,3,1,4
1767,3,2,3,3,4,3
1114,4,3,2,3,3,3
618,1,3,3,3,1,3
1007,4,3,3,3,2,3
1907,1,3,4,3,4,3
195,4,1,4,3,4,4
680,3,3,3,4,3,3
1562,2,2,1,3,4,3
1027,1,3,4,3,2,3
1911,3,3,1,3,2,4
1016,4,2,1,3,1,3
738,4,3,2,3,4,3
243,2,2,4,4,3,2
1996,1,3,3,3,3,3
974,3,3,4,3,2,3
1860,4,3,3,3,4,3
1880,2,2,3,3,1,3
1167,3,3,1,3,2,2
1204,3,3,1,4,1,3
2056,2,2,4,3,1,2
11,4,3,3,4,2,3
1435,1,2,4,3,3,2
927,2,1,4,3,3,2
1605,2,2,3,3,2,2
478,1,2,2,3,3,3
1085,2,4,3,3,3,3
1564,4,2,1,3,2,3
447,4,3,3,3,2,3
1460,2,1,1,3,2,3
1590,1,3,4,3,4,4
2060,4,2,3,3,4,3
353,3,3,4,3,2,2
1932,3,2,4,3,2,3
496,3,2,2,3,3,3
1534,4,3,1,3,2,1
1242,1,3,1,3,3,3
193,4,3,3,4,2,3
720,1,3,3,3,1,3
1588,4,4,3,3,1,3
1361,2,3,2,4,3,3
1553,1,3,2,3,1,3
2051,3,3,3,3,2,3
590,2,3,1,3,3,3
727,3,3,4,3,4,3
1656,4,2,1,3,3,3
311,1,3,4,3,3,3
1421,3,3,4,3,1,3
314,3,3,3,3,1,4
1833,1,3,1,3,4,3
1782,4,2,3,3,2,3
293,4,3,3,3,4,3
103,2,3,2,4,4,3
200,3,3,1,4,4,3
1128,3,2,3,3,1,4
1211,3,3,1,3,3,3
1224,3,3,3,3,1,2
934,2,3,2,3,2,3
1598,4,3,1,3,3,3
766,4,3,2,3,4,3
1217,4,3,2,3,1,3
176,3,3,3,3,3,3
1929,1,1,3,3,3,3
1143,4,3,2,3,4,2
546,4,3,4,3,4,1
1394,3,3,3,3,4,3
690,2,3,3,3,1,2
1683,3,3,4,3,1,3
684,1,3,1,3,4,3
1399,1,4,3,3,2,2
467,2,3,3,3,1,3
515,4,3,1,3,3,2
1,2,3,4,3,1,1
482,4,3,3,3,3,3
1156,3,3,3,3,4,3
1955,3,3,4,3,2,3
641,1,3,2,4,4,4
1758,1,3,1,4,3,2
75,3,3,1,3,3,3
882,4,3,4,3,2,3
1797,3,3,4,3,4,3
1458,1,2,1,4,2,4
1360,3,2,1,3,4,2
238,4,3,2,3,3,2
604,2,3,4,3,3,4
164,3,2,2,3,3,2
1310,3,3,1,3,1,3
725,3,3,1,3,4,3
1200,3,3,3,3,3,3
996,4,3,4,3,4,3
119,3,2,2,4,4,2
2000,3,3,2,3,1,1
247,4,3,2,3,4,3
1225,4,3,4,4,2,3
1362,1,4,1,3,4,2
1094,1,1,3,3,4,3
554,1,3,2,3,2,3
343,3,3,3,4,4,3
90,4,2,3,3,1,2
1115,3,2,4,3,4,3
174,3,3,4,3,4,3
410,4,3,2,3,2,3
1389,4,3,3,3,4,2
444,3,2,4,3,1,3
2020,2,3,4,3,3,3
1545,4,2,2,3,4,3
677,3,3,3,3,4,3
2018,1,3,3,4,2,2
1161,3,2,4,3,3,3
486,3,3,1,4,2,3
667,3,3,1,3,2,3
1992,4,3,3,3,3,2
456,4,2,3,3,3,3
565,3,2,2,3,2,4
224,3,2,3,3,4,2
36,1,2,4,3,4,3
705,1,4,1,3,1,4
262,4,4,4,3,4,4
1299,2,3,3,3,1,3
1870,4,2,1,3,4,2
1869,3,3,2,4,3,3
231,3,3,3,4,1,3
228,2,3,4,3,3,3
904,1,3,2,3,4,3
239,3,3,1,3,3,3
709,4,2,4,4,1,3
1670,4,3,4,3,3,3
1630,3,3,3,3,4,3
1275,3,3,4,4,2,2
663,4,3,3,3,2,3
96,2,3,2,3,2,3
1721,2,3,3,3,4,4
813,4,3,3,4,2,3
1039,4,4,4,3,3,3
912,1,2,4,3,3,3
1175,3,3,4,3,4,2
325,3,3,4,3,3,1
1017,2,3,2,3,1,3
297,4,3,1,3,3,3
221,3,3,4,3,3,1
175,2,1,3,3,3,3
2021,3,3,1,3,4,3
306,2,3,4,3,3,3
1687,4,3,3,3,4,2
1303,4,3,2,3,4,2
252,4,3,2,3,4,3
54,4,3,1,3,4,3
966,3,3,1,3,3,4
143,4,2,4,3,3,3
51,2,2,1,3,4,4
787,4,3,1,3,4,3
1854,3,3,3,4,2,2
1878,4,3,2,4,1,3
1989,4,3,2,3,3,2
652,1,2,4,3,4,3
630,4,3,1,3,2,3
1245,4,3,3,3,1,1
1319,2,3,2,3,3,2
31,2,3,1,3,3,3
1973,3,4,2,3,1,3
1408,3,3,1,3,3,3
88,2,3,1,3,4,2
1239,2,2,2,3,2,4
1736,4,3,4,4,4,2
488,1,3,2,3,3,3
